sector,project,account_item,status,request_id,code,vendor,amount_total,amount_paid,amount_canceled,amount_remaining,source_request_date,payment_request_date,approval_date,payment_date,Time
قطاعات أخرى,مستحقات مجدولة,مقاولين الباطن,,مستحقات,2103010664,مؤسسة مساندة الأداء للتكييف والتبريد,"100,000","100,000",0,0,45855,45855,45855,45855,942-7-17
قطاع رأس الخير و روشن,رأس الخير,موردين,,,2101010263,MiDGULF,"695,164","695,164",0,0,45855,45855,45855,45855,901-7-17
قطاع المياة والصرف الصحي,شبكات وخطوط مياه العوينة,موردين,,,2101010847,مصنع التوكيلات للخرسانة الجاهزة - جاك,"26,500","26,500",0,0,45855,45855,45855,45858,226-7-17
قطاع التحلية,الصبة الخرسانية تحلية جازان,موردين,,,2101010960,مؤسسة صرح الاتحاد للمقاولات العامة,"75,670","75,670",0,0,45855,,45855,45855,514
قطاع المياة والصرف الصحي,شبكات وخطوط مياه العوينة,موردين,,,2101010768,شركة مصدر للتجهيزات الفنية,"5,322","5,322",0,0,45855,,45861,45861,320
قطاع المياة والصرف الصحي,شبكات وخطوط مياه العوينة,عهدة,,0,1101000015,طلب عهدة - احمد عوض,"2,500","2,500",0,0,45857,,,,
قطاع المياة والصرف الصحي,شبكات وخطوط مياه العوينة,موردين,,,2101010855,مؤسسة عراقة الإعمار للمقاولات,"14,548","14,548",0,0,45857,45936,45949,45949,1141-10-6
قطاع المياة والصرف الصحي,شبكات وخطوط مياه العوينة,مقاولين الباطن,,,2103011443,شركة تطوير المعرفة للمقاولات العامة,"11,838","11,838",0,0,45857,,45879,45879,401-8-10
قطاعات أخرى,فندق مكة,مقاولين الباطن,,,2103011499,مؤسسة جبل التشييد للمقاولات العامة,"34,017","34,017",0,0,45857,45858,45859,45859,130-7-20
قطاع الإسكان,مشاريع الاسكان,عهدة,,,1109010058,طلب عهدة - محمد عبد العزيز,"10,000","10,000",0,0,45857,-,-,45857,-
قطاع المياة والصرف الصحي,شبكات وخطوط مياه العوينة,سداد تصاريح حفر,,,5104000094,فاتورة رقم 250716021990,76,76,0,0,45857,-,-,45857,-
قطاع المياة والصرف الصحي,إستكمال شبكات الصرف الصحي لمدينتي الهفوف والمبرز,عهدة,,53,1101000016,طلب عهدة - أحمد صلاح,"15,000","5,000","10,000",0,45857,45858,45858,45858,138-7-20
قطاع التحلية,واحة التحلية برابغ,موردين,,,2101010940,شركة الزامل للمكيفات المركزية,"300,000","300,000",0,0,45857,45858,45858,45858,1038-7-20
قطاع المياة والصرف الصحي,إستكمال شبكات الصرف الصحي لمدينتي الهفوف والمبرز,موردين,,,-,شركة سراكو,"8,050","8,050",0,0,45857,,45867,45867,934-7-29
قطاع المياة والصرف الصحي,شبكات وخطوط مياه العوينة,موردين,,,2101010847,مصنع التوكيلات للخرسانة الجاهزة - جاك,"93,000","93,000",0,0,45857,45876,45876,45876,226-8-7
قطاع المياة والصرف الصحي,شبكات وخطوط مياه العوينة,موردين,,,2101010847,مصنع التوكيلات للخرسانة الجاهزة - جاك,"93,000","93,000",0,0,45857,45893,45893,45893,208-8-24
قطاع المياة والصرف الصحي,شبكات وخطوط مياه العوينة,موردين,,,2101010847,مصنع التوكيلات للخرسانة الجاهزة - جاك,"93,000","93,000",0,0,45857,45903,45903,45903,524-9-3
قطاع المياة والصرف الصحي,شبكات وخطوط مياه العوينة,موردين,,253,2101010653,شركة حديد الشفق للتجارة,"34,776",,0,"34,776",45857,,,,
قطاع التحلية,واحة التحلية برابغ,موردين,,0,2101010329,شركة مصنع ربيع التكييف,"60,240","60,240",0,0,45858,45860,45860,45860,106-7-22
قطاع التحلية,واحة التحلية برابغ,موردين,,0,-,شركة خالد سيار العنزي وشركاه المحدودة,"42,509","42,509",0,0,45858,,45860,45860,106-7-22
قطاع التحلية,واحة التحلية برابغ,موردين,,0,2101010979,شركة عبدالله يسلم باخميس للتجارة,"41,700","41,700",0,0,45858,45860,45860,45860,106-7-22
قطاع التحلية,واحة التحلية برابغ,موردين,,0,2101011008,شركة الفهد الاسود لاجهزة الامن والسلامة,"26,939","26,939",0,0,45858,,45860,45860,106-7-22
قطاع التحلية,واحة التحلية برابغ,موردين,,0,2101010653,شركة حديد الشفق للتجارة,"25,926","25,926",0,0,45858,45860,45860,45860,106-7-22
قطاع التحلية,واحة التحلية برابغ,موردين,,0,2101011029,شركة علي عبدالله الحربي للتجارة,"13,050","13,050",0,0,45858,45860,45860,45860,106-7-22
قطاع التحلية,واحة التحلية برابغ,موردين,,0,2101010166,شركة مركز السيد لمواد التكييف والتبريد,"8,060","8,060",0,0,45858,45860,45860,45860,106-7-22
قطاع التحلية,واحة التحلية برابغ,موردين,,0,2101010044,شركة الخزف السعودي,"4,140","4,140",0,0,45858,,45860,45860,106-7-22
قطاع التحلية,واحة التحلية برابغ,موردين,,0,2101010923,شركة الثنائية المتخصصة الصناعية,"2,070","2,070",0,0,45858,,45860,45860,106-7-22
قطاع الإسكان,إسكان الأصالة الرياض,عهدة,,5044,1109010204,طلب عهدة - كريم رضا,"54,823","50,000","4,823",0,45858,45872,45872,45872,426-8-3
قطاع الإسكان,إسكان الأصالة الرياض,عهدة,,5051,1109010204,طلب عهدة - كريم رضا,"50,000","50,000",0,0,45858,45893,45893,45893,148-8-24
قطاع الإسكان,إسكان الأصالة الرياض,موردين,,0,-,امل عبدالله عبدالرحمن الهلالي,"25,000","25,000",0,0,45858,45859,45859,45859,1124-7-21
قطاع الإسكان,إسكان الأصالة الرياض,موردين,,,-,السيد محمد بن هادي بن يحي شراحيلي,"22,500","22,500",0,0,45858,45859,45859,45859,1124-7-21
قطاع الإسكان,إسكان الأصالة الرياض,مقاولين الباطن,,,2103011544,مؤسسة مروج الجزيرة التجارية,"7,820","7,820",0,0,45858,,45859,45859,1124
قطاع الإسكان,إسكان الأصالة الرياض,مقاولين الباطن,,,2103011534,مؤسسة دوافع نجد,"4,140","4,140",0,0,45858,,45859,45859,1124
قطاع الإسكان,إسكان الأصالة الرياض,مقاولين الباطن,,,2103011543,شركة تحالف الخير للمقاولات,"10,639","10,639",0,0,45858,,45859,45859,1124
قطاع الإسكان,إسكان الأصالة الرياض,مقاولين الباطن,,,2103011546,شركة ريادة الصفا للتجارة,"10,669","10,669",0,0,45858,,45859,45859,1124
قطاع الإسكان,إسكان الأصالة الرياض,مقاولين الباطن,,,2103011494,شركة تراب لمكافحة الحشرات,"1,495","1,495",0,0,45858,,45859,45859,1124
قطاع الإسكان,إسكان الأصالة الرياض,موردين,,,2101011006,مؤسسة المتحد لصيانة المعدات,"10,028","10,028",0,0,45858,,45859,45859,1124
قطاع الإسكان,مشاريع الإسكان,مقاولين الباطن,,,2103010902,مؤسسة ناصر جميل للمقاولات,"150,000","150,000",0,0,45858,,45859,45859,1124
قطاع الإسكان,مشاريع الإسكان,مقاولين الباطن,,,2103010936,مؤسسة عبدالله النفيسة للمقاولات,"150,000","150,000",0,0,45858,,45859,45859,1124
قطاع الإسكان,مشاريع الإسكان,مقاولين الباطن,,,2101010595,شركة المنابر للاستشارات الهندسية,"300,113","300,113",0,0,45858,,45859,45859,1124
قطاع المصانع,مصنع أبواب مشاريع الإسكان بجدة,عهدة,,,1101000013,طلب عهدة - محمود سعفان,"13,076","10,000","3,076",0,45858,,,,
قطاع المياة والصرف الصحي,شبكات وخطوط مياه العوينة,مقاولين الباطن,,,2103011266,مؤسسة روعة الأمثال للمقاولات العامة,"18,685","18,685",0,0,45858,,45867,45867,237-7-29
قطاع التحلية,واحة التحلية برابغ,سدادات,,,5104000007,فاتورة رقم 30122744865,596,596,0,0,45858,,45859,45859,917-7-21
قطاع التحلية,واحة التحلية برابغ,سدادات,,,5104000007,فاتورة رقم 10063007349,673,673,0,0,45858,,45859,45859,917-7-21
قطاع التحلية,واحة التحلية برابغ,عهدة,,289,1101000011,طلب عهدة - جمعة روبي,"40,975","40,975",0,0,45858,,45861,45867,"1123-7-23
1008-7-29"
قطاع التحلية,واحة التحلية برابغ,عهدة,,290,1101000011,طلب عهدة - جمعة روبي,"50,000",0,"50,000",0,45858,,-,-,
قطاع التحلية,واحة التحلية برابغ,موردين,,,2101010749,مؤسسة الاسناد والقوة للحراسات الامنية,"32,200","32,200",0,0,45858,45859,45859,45859,917-7-21
قطاعات أخرى,مشروع عقد كهرباء 36 ك .ف جازان,عهدة,,,1109010174,طلب عهدة - تاج الدين شرف الدين,"12,000","12,000",0,0,45858,45859,45859,45859,925-7-21
قطاع المياة والصرف الصحي,إستكمال شبكات الصرف الصحي لمدينتي الهفوف والمبرز,مقاولين الباطن,,,2103011536,شركة مسعود بن ناصر الدوسري للمقاولات العامه,"72,009","72,009",0,0,45859,45859,45859,45859,141-7-21
قطاع المياة والصرف الصحي,شبكات وخطوط مياه العوينة,عهدة,,0,1101000015,طلب عهدة - احمد عوض,"15,000","15,000",0,0,45857,45858,45858,45858,136-7-20
قطاعات أخرى,ورشة اليات قطاع البنية التحتية,عهدة,,,1109010115,طلب عهدة - وليد محمد والي,"6,700","6,700",0,0,45859,45859,45859,45859,131-7-21
قطاع المياة والصرف الصحي,شبكات وخطوط مياه العوينة,موردين,,,2101011017,مؤسسة شعلة الحجاز للمقاولات,"17,722","17,722",0,0,45859,45869,45869,45869,140-7-31
قطاع المياة والصرف الصحي,شبكات وخطوط مياه العوينة,عهدة,,0,1101000015,طلب عهدة - احمد عوض,"6,000","6,000",0,0,45859,,,,
قطاع المياة والصرف الصحي,شبكات الصرف الصحي ومحطة الرفع بالعزيزية الخبر,موردين,,194,2101011018,شركة امجد عبد العزيز الحقيل للوقود,"15,000","15,000",0,0,45860,45861,45861,45861,317-7-23
قطاع المياة والصرف الصحي,شبكات الصرف الصحي ومحطة الرفع بالعزيزية الخبر,موردين,,194,2101011018,شركة امجد عبد العزيز الحقيل للوقود,"10,000","10,000",0,0,45860,45865,45865,45865,549-7-27
قطاع المياة والصرف الصحي,إستكمال شبكات الصرف الصحي لمدينتي الهفوف والمبرز,سداد تصاريح حفر,,,5104000094,فاتورة رقم 250716025055,"2,404","2,404",0,0,45860,45860,45860,45860,303-7-22
قطاع المياة والصرف الصحي,إستكمال شبكات الصرف الصحي لمدينتي الهفوف والمبرز,موردين,,,2101010984,شركة عبد الرحمن احمد الراجحي التجارية,"6,371","6,371",0,0,45860,,45874,45874,520-8-5
قطاع المياة والصرف الصحي,إستكمال شبكات الصرف الصحي لمدينتي الهفوف والمبرز,موردين,,,-,شركة نورماس للتجارة,"1,620",0,"1,620",0,45860,-,-,-,-
قطاع المياة والصرف الصحي,شبكات وخطوط مياه العوينة,سداد تصاريح حفر,,,5104000094,فاتورة رقم 250716025127,313,313,0,0,45860,45861,45861,45861,320-7-23
قطاعات أخرى,مشاريع المدينة,موردين,,,-,شركة أفاق القطع للتجارة,"3,730","3,730",0,0,45860,,45867,45867,307-7-29
قطاع التحلية,واحة التحلية برابغ,موردين,,,-,مؤسسة روائع فنون الاعمار للمقاولات (مركز الحميدي مهجع الرويلي),"5,175","5,175",0,0,45860,,45868,45868,240-7-30
قطاع التحلية,واحة التحلية برابغ,موردين,,,2101010593,شركة سادن المتخصصة للاستشارات الجيولوجية,"10,178","10,178",0,0,45860,45883,45883,45883,222-8-14
قطاع التحلية,واحة التحلية برابغ,موردين,,,2101010593,شركة سادن المتخصصة للاستشارات الجيولوجية,"18,854","18,854",0,0,45860,45897,45897,45897,304-8-28
قطاع المياة والصرف الصحي,إستكمال شبكات الصرف الصحي لمدينتي الهفوف والمبرز,عهدة,,54,1101000016,طلب عهدة - أحمد صلاح,"15,000","5,000","10,000",0,45860,,45860,45862,303-7-22
قطاع المياة والصرف الصحي,شبكات وخطوط مياه العوينة,موردين,,255,2101010926,شركة اعالي النما,"22,546","22,546",0,0,45860,45881,45881,45881,432-8-12
قطاع المياة والصرف الصحي,شبكات وخطوط مياه العوينة,موردين,,255,2101010926,شركة اعالي النما,"22,545","22,545",0,0,45860,45981,-,45981,912-11-20
قطاع الإسكان,إسكان الأصالة الرياض,موردين,,0,2101010948,شركة عمران نجد للصناعة,"500,000","500,000",0,0,45861,45865,45865,45865,1021-7-27
قطاع الإسكان,إسكان الأصالة الرياض,موردين,,0,2101010761,شركة هضاب الخليج التجارية,"288,994","288,994",0,0,45861,,45865,45865,1021-7-27
قطاع الإسكان,إسكان الأصالة الرياض,موردين,,0,2101010829,شركة وهيب الحجاز لتطوير والاستثمار الصناعي,"150,000","150,000",0,0,45861,,45873,45873,1035-8-4
قطاع الإسكان,إسكان الأصالة الرياض,موردين,,0,2101010958,شركة الزيت الذهبي التجارية,"25,738","25,738",0,0,45861,,45873,45873,1035-8-4
قطاع الإسكان,إسكان الأصالة الرياض,موردين,,0,2101011058,شركة اعمال التبريد الفنية للمقاولات,"6,635","6,635",0,0,45861,45873,45873,45873,1035-8-4
قطاع الإسكان,إسكان الأصالة الرياض,موردين,,0,2101010952,مؤسسة كيان الانشاءات لمواد البناء,"3,191","3,191",0,0,45861,,45873,45873,1035-8-4
قطاع الإسكان,إسكان الأصالة الرياض,موردين,,0,2101011073,مؤسسة السهم العربي للتجارة,"1,869","1,869",0,0,45861,,45873,45873,1035-8-4
قطاع الإسكان,إسكان الأصالة الرياض,موردين,,0,2101011012,شركة رواد الابتكار للتجارة,"1,178","1,178",0,0,45861,,45873,45873,1035-8-4
قطاعات أخرى,مشروع عقد كهرباء 36 ك .ف جازان,عهدة,,47,1109010174,طلب عهدة - تاج الدين شرف الدين,"25,000","25,000",0,0,45859,45861,45861,45861,1146-7-23
قطاع التحلية,واحة التحلية برابغ,موردين,,,2101010996,مؤسسة ابراج الماسة للمقاولات,"30,000","30,000",0,0,45859,45859,45859,45859,1022-7-21
قطاع رأس الخير و روشن,رأس الخير,موردين,,,2101011060,شركة فنون للتجارة,"2,399","2,399",0,0,45858,,45858,45858,103-7-20
قطاع رأس الخير و روشن,رأس الخير,موردين,,,2101011061,شركة الرواد المطورة التجارية,760,760,0,0,45858,,45858,45858,103-7-20
قطاع رأس الخير و روشن,رأس الخير,موردين,,,2101011057,شركة الفرسان للآلات والمعدات,"6,371","6,371",0,0,45858,,45858,45858,103-7-20
قطاع رأس الخير و روشن,رأس الخير,موردين,,,2101011062,مؤسسة زكي محمد الصبيحة التجارية,"9,684","9,684",0,0,45858,,45858,45858,103-7-20
قطاع رأس الخير و روشن,رأس الخير,موردين,,,2101011063,شركة أبناء سليمان الجهني المحدودة,"2,473","2,473",0,0,45858,,45858,45858,103-7-20
قطاع رأس الخير و روشن,رأس الخير,موردين,,,2101011064,محلات الأنوار بلس للأجهزة المنزلية,"11,600","11,600",0,0,45858,,45858,45858,103-7-20
قطاع رأس الخير و روشن,رأس الخير,موردين,,,2101010718,مؤسسة دخيل الله دخيل عوده السفياني - أمن وسلامة,"3,696","3,696",0,0,45858,,45858,45858,103-7-20
قطاع رأس الخير و روشن,رأس الخير,موردين,,,2101011065,مؤسسة صروح المدينة للنقليات,"16,100","16,100",0,0,45858,,45858,45858,103-7-20
قطاع رأس الخير و روشن,رأس الخير,عهدة,,0,-,محمد عباس أحمد حسن (عهدة مندوب مشتريات),"10,000","10,000",0,0,45858,,45858,45858,103-7-20
قطاعات أخرى,فندق مكة,عهدة,,0,1109010244,طلب عهدة - محمد خالد,"20,000","20,000",0,0,45858,45858,45858,45858,130-7-20
قطاع التحلية,الصبة الخرسانية تحلية جازان,مقاولين الباطن,,,2103011466,مؤسسة غيدة محمد عمر المشرعي للمقاولات,"9,833","9,833",0,0,45857,45857,45857,45857,452-7-19
قطاع التحلية,الصبة الخرسانية تحلية جازان,مقاولين الباطن,,,2103011466,مؤسسة غيدة محمد عمر المشرعي للمقاولات,"6,781","6,781",0,0,45857,45857,45857,45857,452-7-19
قطاع التحلية,الصبة الخرسانية تحلية جازان,مقاولين الباطن,,,2103011466,مؤسسة غيدة محمد عمر المشرعي للمقاولات,"2,597","2,597",0,0,45857,45857,45857,45857,452-7-19
قطاع التحلية,الصبة الخرسانية تحلية جازان,مقاولين الباطن,,,2103011466,مؤسسة غيدة محمد عمر المشرعي للمقاولات,"3,738","3,738",0,0,45857,45857,45857,45857,452-7-19
قطاع التحلية,الصبة الخرسانية تحلية جازان,مقاولين الباطن,,,2103011466,مؤسسة غيدة محمد عمر المشرعي للمقاولات,"2,528","2,528",0,0,45857,45857,45857,45857,452-7-19
قطاع المياة والصرف الصحي,شبكات وخطوط مياه العوينة,عهدة,,0,1101000015,طلب عهدة - احمد عوض,"15,000","15,000",0,0,45854,45854,45854,45854,253-7-16
قطاع المصانع,مصنع صدارة الكسارة,موردين,,,2101010530,مؤسسة المجالات المتحدة,"10,000","10,000",0,0,45854,,45854,45854,452
قطاع المصانع,مصنع صدارة الكسارة,موردين,,0,-,أيمن أحمد أحمد,"2,000","2,000",0,0,45854,45854,45854,45854,452-7-16
قطاع المصانع,مصنع صدارة الكسارة,موردين,,,2101010626,معرض جراب علي سعيد ال جحام للسيارات,"170,000","170,000",0,0,45854,,45854,45854,1035-7-16
قطاع الإسكان,تنفيذ وحدات الإسكان التنموي  بالعاقول,موردين,,,2101010751,شركة مصنع بكين الإمارات الدولية للخرسانة الجاهزة,"50,000","50,000",0,0,45854,,45854,45854,944
قطاع رأس الخير و روشن,رأس الخير,موردين,,,2101011059,معرض الحزام الذهبي للسيارات,"320,275","320,275",0,0,45854,45854,45854,45854,115-7-16
قطاع المياة والصرف الصحي,إستكمال شبكات الصرف الصحي لمدينتي الهفوف والمبرز,موردين,,0,2101011002,شركة عصر الحديد التجارية,"241,500","241,500",0,0,45861,,-,45866,-
قطاع المياة والصرف الصحي,إستكمال شبكات الصرف الصحي لمدينتي الهفوف والمبرز,موردين,,0,2101010509,شركة المنبع الشامل للتجارة,"13,156","13,156",0,0,45861,,-,45866,-
قطاع المياة والصرف الصحي,إستكمال شبكات الصرف الصحي لمدينتي الهفوف والمبرز,موردين,,0,2101010924,شركة رابط البحر التجارية,"7,870","7,870",0,0,45861,-,-,45866,-
قطاع الإسكان,تنفيذ وحدات الإسكان التنموي  بالعاقول,موردين,,,2101010751,شركة مصنع بكين الإمارات الدولية للخرسانة الجاهزة,"50,000","50,000",0,0,45861,,45861,45861,435
قطاع التحلية,واحة التحلية برابغ,موردين,,0,2101010941,الشركة السريعة الدولية للبتروكيماويات,"49,197","49,197",0,0,45861,45868,45868,45868,856-7-30
قطاعات أخرى,مشروع عقد كهرباء 36 ك .ف جازان,عهدة,,0,1109010174,طلب عهدة - تاج الدين شرف الدين,"8,000","8,000",0,0,45853,45853,45853,45853,1006-7-15
قطاع رأس الخير و روشن,رأس الخير,موردين,,,-,SWPC (Sustainable Water Power Consultants),"733,706","733,706",0,0,45853,45853,45853,45853,936-7-15
قطاعات أخرى,مشروع عقد كهرباء 36 ك .ف جازان,موردين,,-,-,مؤسسة تى ارت للمقاولات,"41,000","41,000",0,0,45853,,45853,45853,207-7-15
قطاع التحلية,الصبة الخرسانية تحلية جازان,موردين,,,2101010960,مؤسسة صرح الاتحاد للمقاولات العامة,"35,133","35,133",0,0,45853,,45853,45853,425-7-15
قطاعات أخرى,مستحقات مجدولة - تمت,مقاولين الباطن,,مستحقات,2103011248,شركة يثرب الذهبية للمقاولات,"10,119","10,119",0,0,45853,45853,45853,45853,211-7-15
قطاعات أخرى,مستحقات مجدولة - تمت,مقاولين الباطن,,مستحقات,2103011248,شركة يثرب الذهبية للمقاولات,"7,283","7,283",0,0,45853,45853,45853,45853,211-7-15
قطاعات أخرى,مستحقات مجدولة - تمت,مقاولين الباطن,,مستحقات,2103011248,شركة يثرب الذهبية للمقاولات,"12,604","12,604",0,0,45853,45853,45853,45853,211-7-15
قطاعات أخرى,مستحقات مجدولة - تمت,مقاولين الباطن,,مستحقات,2103011248,شركة يثرب الذهبية للمقاولات,"22,707","22,707",0,0,45853,45853,45853,45853,211-7-15
قطاع رأس الخير و روشن,رأس الخير,موردين,,,-,شركة السيل الشرقية المحدودة,"3,680","3,680",0,0,45854,,45854,45854,918-7-16
قطاع المياة والصرف الصحي,شبكات وخطوط مياه العوينة,موردين,,,2101010847,مصنع التوكيلات للخرسانة الجاهزة - جاك,"25,000","25,000",0,0,45852,,45852,45852,526-7-14
قطاع المصانع,مصنع صدارة الكسارة,موردين,,,2101010626,معرض جراب علي سعيد ال جحام للسيارات,"100,000","100,000",0,0,45852,,45852,45852,439-7-14
قطاع الإسكان,إسكان الأصالة الرياض,مقاولين الباطن,,,2103011494,شركة تراب لمكافحة الحشرات,"3,450","3,450",0,0,45852,,45852,45852,1057-7-14
قطاع الإسكان,إسكان الأصالة الرياض,عهدة,,0,1101000017,طلب عهدة - كريم رضا,"50,000",0,"50,000",0,45852,-,-,-,-
قطاع الإسكان,إسكان العاقول,مقاولين الباطن,,,2103011339,مؤسسة سعد صنهات صنت المطيرى,"14,947","14,947",0,0,45852,,45852,45852,928-7-14
قطاع الإسكان,إسكان العاقول,مقاولين الباطن,,,2103011339,مؤسسة سعد صنهات صنت المطيرى,"10,474","10,474",0,0,45852,,45852,45852,928-7-14
قطاع المصانع,مصنع أبواب مشاريع الإسكان بجدة,عهدة,,0,1101000013,طلب عهدة - محمود سعفان,"6,323","6,323",0,0,45852,,45852,45852,1100-7-14
قطاع الإسكان,إسكان الأصالة الرياض,عهدة,,0,1109020002,بلة القرشي,"5,000","5,000",0,0,45852,45852,45852,45852,145-7-14
قطاعات أخرى,محطات الضخ بالاحساء,موردين,,,-,كريم محمود عبد السلام محمد,"1,800","1,800",0,0,45852,,45852,45852,419-7-14
قطاعات أخرى,اليات المنطقة الشرقية,عهدة,,0,1109010115,طلب عهدة - وليد محمد والي,"5,000","5,000",0,0,45851,,45851,45851,430-7-13
قطاع رأس الخير و روشن,رأس الخير,عهدة,,0,-,نايف احمد ناصر الناصر,"29,900","29,900",0,0,45851,,45851,45851,1042-7-13
قطاعات أخرى,مشروع عقد كهرباء 36 ك .ف جازان,عهدة,,0,1109010174,طلب عهدة - تاج الدين شرف الدين,"14,880","14,880",0,0,45851,45851,45851,45851,1007-7-13
قطاع التحلية,واحة التحلية برابغ,موردين,,,2101011044,شركة بوليمرز المتقدمة للصناعات المحدودة,"192,147","192,147",0,0,45850,45850,45850,45850,259-7-12
قطاع التحلية,واحة التحلية برابغ,موردين,,,2101010838,جولدن جلاس للزجاج,"95,108","95,108",0,0,45850,45850,45850,45850,259-7-12
قطاع التحلية,واحة التحلية برابغ,موردين,,,2101020005,مؤسسة ألمنيوم العاصمة مبارك الدوسري,"108,700","108,700",0,0,45850,45850,45850,45850,259-7-12
قطاع المصانع,مصنع صدارة الكسارة,موردين,,,-,محمد زين العابدين,"4,000","4,000",0,0,45850,,45850,45850,211-7-12
قطاع المياة والصرف الصحي,شبكات الصرف الصحي ومحطة الرفع بالعزيزية الخبر,عهدة,,0,1109010246,طلب عهدة - احمد الدسوقي,"15,000","15,000",0,0,45850,45850,45850,45850,145-7-12
قطاعات أخرى,مكتب جدة,سدادات,,,-,عمرو حمدى محمود عبدالرحيم,"10,000","10,000",0,0,45848,,45848,45848,429-7-10
قطاعات أخرى,مكتب جدة,سدادات,,,-,احمد محمد احمد سالم,"10,000","10,000",0,0,45848,45848,45848,45848,429-7-10
قطاعات أخرى,مكتب جدة,سدادات,,,-,محمد أحمد الششتاوي عوض,"10,000","10,000",0,0,45848,,45848,45848,429-7-10
قطاعات أخرى,مكتب جدة,سدادات,,,-,عبدالشافى ابراهيم عبدالشافى جمعه,"10,000","10,000",0,0,45848,,45848,45848,429-7-10
قطاعات أخرى,مكتب جدة,عهدة,,0,1109010115,طلب عهدة - وليد محمد والي,"12,500","12,500",0,0,45848,,45848,45848,429-7-10
قطاع الإسكان,إسكان المدينة,موردين,,,2101010722,مؤسسة منار العمارة,"25,000","25,000",0,0,45848,,45848,45848,900-7-10
قطاع الإسكان,مشروع الإسكان التنموي بالطائف,مقاولين الباطن,,,-,مقاول باطن / الشيخة عواض الدهاس,"126,332","126,332",0,0,45848,,45848,45848,607-7-10
قطاعات أخرى,مشروع عقد كهرباء 36 ك .ف جازان,عهدة,,0,1109010035,طلب عهدة - م وجدي عبدالواحد,"15,000","15,000",0,0,45848,45848,45848,45848,101-7-10
قطاع التحلية,الصبة الخرسانية تحلية جازان,موردين,,,2101010719,دكتور أحمد الجوهري,"2,000","2,000",0,0,45848,45848,45848,45848,409-7-10
قطاع رأس الخير و روشن,رأس الخير,موردين,,,2101010736,شركة قصر الحاسبات التجارية,"1,610","1,610",0,0,45848,45848,45848,45848,441-7-10
قطاع المصانع,مصنع أبواب مشاريع الإسكان بجدة,موردين,,,2101010771,شركة اكادا للتجارة,777,777,0,0,45848,45848,45848,45848,523-7-10
قطاعات أخرى,صيانة وتشغيل مبنى المديرية العامة بمنطقة الجوف,سدادات,,,5104000012,محمد نزال مكمن الربيعان الفهيقي,"1,200","1,200",0,0,45847,,45847,45847,804-7-9
قطاعات أخرى,صيانة وتشغيل مبنى المديرية العامة بمنطقة الجوف,سدادات,,,5104000012,صويمد عياش معوض,800,800,0,0,45847,,45847,45847,804-7-9
قطاعات أخرى,صيانة وتشغيل مبنى المديرية العامة بمنطقة الجوف,موردين,,,5104000031,عبد الملك نازل عايض الشمري,"5,000","5,000",0,0,45847,,45847,45847,804-7-9
قطاعات أخرى,صيانة وتشغيل مبنى المديرية العامة بمنطقة الجوف,موردين,,,2101010585,مؤسسة حسن بن محمد بن مبارك النهدي,"5,290","5,290",0,0,45847,45847,45847,45847,804-7-9
قطاعات أخرى,صيانة وتشغيل مبنى المديرية العامة بمنطقة الجوف,موردين,,,2101010585,مكتبة البازعي للقرطاسية,"26,230","26,230",0,0,45847,,45847,45847,804-7-9
قطاعات أخرى,صيانة وتشغيل مبنى المديرية العامة بمنطقة الجوف,موردين,,,-,مؤسسة شرق المتطور,"18,975","18,975",0,0,45847,,45847,45847,804-7-9
قطاعات أخرى,صيانة وتشغيل مبنى المديرية العامة بمنطقة الجوف,موردين,,,-,محل زهراء الجوف للمفروشات,"7,054","7,054",0,0,45847,,45847,45847,804-7-9
قطاعات أخرى,صيانة وتشغيل مبنى المديرية العامة بمنطقة الجوف,مقاولين الباطن,,,2101010585,مؤسسة السامي للأمن والسلامة,"2,875","2,875",0,0,45847,,45847,45847,804-7-9
قطاعات أخرى,صيانة وتشغيل مبنى المديرية العامة بمنطقة الجوف,سدادات,,,-,شبكة المحور للتقنية والاتصالات,"3,450","3,450",0,0,45847,,45847,45847,804-7-9
قطاعات أخرى,صيانة وتشغيل مبنى المديرية العامة بمنطقة الجوف,موردين,,,2101011058,شركة أعمال التبريد الفنية للمقاولات,"9,070","9,070",0,0,45847,45847,45847,45847,804-7-9
قطاعات أخرى,صيانة وتشغيل مبنى المديرية العامة بمنطقة الجوف,موردين,,,-,مؤﻣﺳﺳﺔ ﺳﺎرة ﻗرﯾطﺎن حمدان الرويلي,885,885,0,0,45847,,45847,45847,804-7-9
قطاعات أخرى,صيانة وتشغيل مبنى المديرية العامة بمنطقة الجوف,سدادات,,,5104000007,الشركة السعودية للكهرباء - فاتورة رقم 30119961444,546,546,0,0,45847,45847,45847,45847,804-7-9
قطاعات أخرى,صيانة وتشغيل مبنى المديرية العامة بمنطقة الجوف,سدادات,,,5104000007,الشركة السعودية للكهرباء - فاتورة رقم 30060978769,"1,263","1,263",0,0,45847,45847,45847,45847,804-7-9
قطاعات أخرى,صيانة وتشغيل مبنى المديرية العامة بمنطقة الجوف,سدادات,,,5104000007,الشركة السعودية للكهرباء - فاتورة رقم 30060978796,"2,176","2,176",0,0,45847,45847,45847,45847,804-7-9
قطاعات أخرى,صيانة وتشغيل مبنى المديرية العامة بمنطقة الجوف,عهدة,,0,1109010196,طلب عهدة - هشام محمد الدسوقي,"10,000","5,000","5,000",0,45847,,45847,45847,804-7-9
